"rt","stimulus","response","phase","prime","target","target_type","task","trial_type","trial_index","time_elapsed","internal_node_id","correct"
"1193","<p style=""font-size: 48px; font-family: monospace;"">TURN</p>","w","test","SCARF","turn","unrelated","target","html-keyboard-response","428","318715","0.0-4.0-2.138",""
"1833","<p style=""font-size: 48px; font-family: monospace;"">WOATHER</p>","n","test","RAZOR","woather","nonword","target","html-keyboard-response","431","321273","0.0-4.0-2.139",""
"2340","<p style=""font-size: 48px; font-family: monospace;"">SNAVE</p>","n","test","MOAT","snave","nonword","target","html-keyboard-response","434","324342","0.0-4.0-2.140",""
"2552","<p style=""font-size: 48px; font-family: monospace;"">BAG</p>","w","test","CHAOS","bag","unrelated","target","html-keyboard-response","437","327611","0.0-4.0-2.141",""
"2038","<p style=""font-size: 48px; font-family: monospace;"">DESERT</p>","w","test","MIRAGE","desert","associative","target","html-keyboard-response","440","330360","0.0-4.0-2.142",""
"1037","<p style=""font-size: 48px; font-family: monospace;"">VALL</p>","n","test","SURGERY","vall","nonword","target","html-keyboard-response","443","332127","0.0-4.0-2.143",""
"1329","<p style=""font-size: 48px; font-family: monospace;"">CAGS</p>","n","test","MICROWAVE","cags","nonword","target","html-keyboard-response","446","334178","0.0-4.0-2.144",""
"1134","<p style=""font-size: 48px; font-family: monospace;"">BITE</p>","w","test","SIDE","bite","unrelated","target","html-keyboard-response","449","336020","0.0-4.0-2.145",""
"1211","<p style=""font-size: 48px; font-family: monospace;"">POISON</p>","w","test","PASSAGE","poison","unrelated","target","html-keyboard-response","452","337943","0.0-4.0-2.146",""
"2104","<p style=""font-size: 48px; font-family: monospace;"">LITCHER</p>","w","test","PUNCTUATION","litcher","nonword","target","html-keyboard-response","455","340773","0.0-4.0-2.147",""
"1891","<p style=""font-size: 48px; font-family: monospace;"">POME</p>","n","test","TRAUMA","pome","nonword","target","html-keyboard-response","458","343376","0.0-4.0-2.148",""
"1899","<p style=""font-size: 48px; font-family: monospace;"">BEEL</p>","n","test","SYSTEM","beel","nonword","target","html-keyboard-response","461","345997","0.0-4.0-2.149",""
